[2026-05-29 23:13:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-28
正在获取论文...
[ACM] 2026-5-29 | Visual Attention and Cognitive Load in Text Relevance Assessment
[ACM] 2026-5-29 | [Emerging Ideas] Phonotonos: Through-Skin Ultrasonic Blood Flow Sensing Using Smartphones
[ACM] 2026-5-29 | FBLayout: Optimizing Memory Layout for Efficient LLM Finetuning on Mobile GPUs
[ACM] 2026-5-29 | GUARDIAN: Gaze User Authentication and Reference Detection for Integrity Analysis on Netflix
[ACM] 2026-5-29 | Corneal Center Estimation Using Incident Planes Calculated by Polarization
[ACM] 2026-5-29 | Perceiving AI in Motion: A Mixed-Method Eye-Tracking Study of Social Diversity in AI-Based Mobility Systems
[ACM] 2026-5-29 | Professional Vision in Early Childhood Education: Mobile Eye-Tracking in Educator–Child Interactions
[ACM] 2026-5-29 | Associations Between Eye-Tracking Dynamics and Cognitive Variability in Functionally Independent Older Adults
[ACM] 2026-5-29 | Event-based Gaze Estimation via Spatial-Temporal Interaction
[IEEE] 2026-5-28 | Carbon Emission-Based Sustainability Model For Photonic Neural Network Accelerators
[IEEE] 2026-5-28 | Automatic Compact Model Parameter Extraction with an Enhanced Hybrid of Differential Evolution and Nelder-Mead Optimizers
[ACM] 2026-5-28 | Convolution-Based Modeling of Pupil Dynamics: Integrating Luminance for Enhanced Arousal Prediction ETRA007
[ACM] 2026-5-28 | Task-Aligned Unlearning for Multimodal Large Language Models
[ACM] 2026-5-28 | VOICY: A Privacy-Centric Modular Architecture for Zero-Shot Voice Cloning and Fine-Tuned Speech Synthesis
[ACM] 2026-5-28 | Bridging the Semantic Gap: A Homonym-Aware Ontology Platform for Cybersecurity Interoperability
[ACM] 2026-5-28 | Fairness at a Glance: Can We Audit Model Fairness Before Training Completes?
[ACM] 2026-5-28 | SAMPLE: A Spatial/Channel-wise Attention GCN with MLP and Periodic Linear Encoding for Land Boundary Demarcation System
[ACM] 2026-5-28 | Feasibility of Cryptography In a Blockchain-Enhanced ICS Security
[ACM] 2026-5-28 | The 2nd Workshop on Social Science Meets Web Data: Reproducible and Reusable Computational Approaches (R2CASS)
[IEEE] 2026-5-29 | Towards Robust Optical–SAR Object Detection under Missing Modalities: A Dynamic Quality-Aware Fusion Framework
[IEEE] 2026-5-29 | Free-Position Wireless Power Transfer System for Lightweight Unmanned Aerial Vehicle Based on Multireceiver-Coil Design
[IEEE] 2026-5-29 | Table of Contents
[IEEE] 2026-5-29 | Rapeseed Yield Estimation by Assimilating a Novel SAR-Retrieved Canopy Parameter Considering Plant Structure and Regional Characteristics
[IEEE] 2026-5-28 | MambaCell: A Self-Supervised Mamba Framework for Multi-Task Cell Representation Learning
[IEEE] 2026-5-28 | Bridging Physics and Priors: A Unified Diffusion Framework for Underwater Image Restoration
[IEEE] 2026-5-28 | HEART: Achieving Timely Multi-Model Training for Vehicle-Edge-Cloud-Integrated Hierarchical Federated Learning
[IEEE] 2026-5-28 | Improving Privacy in Iris Recognition Through Secure Matching of Protected Biometric Data
[IEEE] 2026-5-29 | A Multidimensional Comparative Survey of Hybrid Cloud-IoT Architectures for Healthcare: Towards a Fog-Mesh Synergistic Framework
[IEEE] 2026-5-29 | Filtering and Accelerating: A Unified Framework for High-Performance Persistence Estimation_supp1-3695579.pdf
[IEEE] 2026-5-29 | Literary Emotions in Motion: A Soft Robotics Installation for Tactile Storytelling
[IEEE] 2026-5-29 | NSGR: A Tile-Free 360° Video LIVE System With Edge Servers Enhancing Viewport Quality
[IEEE] 2026-5-28 | The parameters of three classes of extended BCH codes
[IEEE] 2026-5-29 | Computer Highlights Society Magazines
