[2026-06-21 23:13:33] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-20
正在获取论文...
[ACM] 2026-6-20 | FRANKI: AI-Powered Feedback for Handwritten Assignments
[ACM] 2026-6-20 | Backdoor Watermarking for Continuous Prompt Learning Models in Industrial Systems
[ACM] 2026-6-20 | When Tools Overlook Domain Knowledge: An Empirical Study of Refactoring in Scientific Software
[ACM] 2026-6-20 | Zero-Shot Building Energy Forecasting Using Chronos-2 Foundation Models
[ACM] 2026-6-20 | Maximizing Compute Capacity in AI Data Centers through Cooling, Energy Storage, and Computing Adaptation
[ACM] 2026-6-20 | Adaptive Energy Planning Framework for AI Data Center Expansion
[ACM] 2026-6-20 | Mobiflip: Information-Bottleneck-Guided Minimal Federated Adaptation for Cross-Modal Models
[ACM] 2026-6-20 | Youth as Evaluators: Designing Participatory Instruments for Age-Appropriate AI Governance
[ACM] 2026-6-20 | PhD Forum Abstract: The Effects of the Thermal Environment on Sleep and Novel Control Solutions
[ACM] 2026-6-20 | Exploring tangible media interactions for neurodivergent children's wellbeing through an internet of sensations
[ACM] 2026-6-20 | Frameworks in the Field: Considering Real Life Tensions When Designing AI for Children’s Well-being
[ACM] 2026-6-20 | Solarpunk Futures Construction Kit: Objects to Imagine With for Collective Worldbuilding
[ACM] 2026-6-20 | Parent Perspectives on Future Designs of AAC for Children with Speech and Language Difficulties
[ACM] 2026-6-20 | Impact Stack: Supporting Youth Reasoning About Environmental Impact Through a Card Game
[ACM] 2026-6-20 | AI at the Dinner Table: Parents on Reflection, Gender Biases and GenAI
[ACM] 2026-6-20 | Degradation-Aware Multi-Timescale Energy Management System for Residential PV-Battery Systems
[ACM] 2026-6-20 | Proposed ARTIC: An AI-Orchestrated Testbed for Empirical Hardware Resilience Evaluation of DER Devices
[ACM] 2026-6-20 | NeighborDrive: Privacy-preserving Neighborhood Sensing through Outreach Vehicles
[ACM] 2026-6-20 | A Series of Fortunate Events: Reflecting on Lessons Learnt from Challenges and Failures in CCI Research
[ACM] 2026-6-20 | Sensing Nature: A School-ground Haptic Map and Tactile Garden for Texture Exploration
[ACM] 2026-6-20 | Anthropomorphism in Children's Interactions with LLM-Based Chatbots: A Systematic Review of Drivers and Outcomes
[ACM] 2026-6-20 | Secure Smart Energy Forecasting with SGX-Protected Federated Learning
[ACM] 2026-6-20 | Poster Abstract: Generative Occupants: LLM Agents in a Physics-Based Building Energy Simulation
[ACM] 2026-6-20 | Poster Abstract: The Accuracy Paradox in Data-Driven Model Predictive Control
[ACM] 2026-6-20 | Bridging Performative Arts, Feminist Pedagogy and Technology: A Framework for Inclusive Learning Strategies to engage Young Women from Marginalized Communities in Computing Education
[ACM] 2026-6-20 | Towards a Dual-Mode Humanoid Educational Robot for Primary Mathematics Education: Co-Designing Accessible Support for Informal Assessment and Tutoring
[ACM] 2026-6-20 | A Seat at The Table: Teen Experiences and Perceptions of Social Media Recommendation Algorithms
[ACM] 2026-6-20 | A tangible evaluation for a tangible interface: introducing the Ape-raisal
[ACM] 2026-6-20 | Opening the University: Immersive Learning Experiences in University Spaces with Youth in Vulnerable Contexts
[ACM] 2026-6-20 | Mapping the Design Space for Youth Social Media: A Framework Centered on Friendship Building
[ACM] 2026-6-20 | Bigbang: A Prototype for AI-Supported Environmental Storytelling in Early Ecological Learning
[ACM] 2026-6-20 | Supporting Sibling–Infant Bonding in the NICU Through Multisensory Embodied Online Visitation
[ACM] 2026-6-20 | When Augmentations Compete with Manipulatives: Exploring Augmented Reality in Early Mathematics Activities
[ACM] 2026-6-20 | Multi-Modal Contactless Battery Sensing Using Commercial Handheld Smartphones
[ACM] 2026-6-20 | Probing Ambient Co-Presence as Social Infrastructure: First Encounters with Connected Rooms
[ACM] 2026-6-20 | Towards Unbiased Street View Coverage: How Many New Images Are Needed and Who Should Collect Them?
[ACM] 2026-6-20 | CritBench: A Framework for Evaluating Cybersecurity Capabilities of Large Language Models in IEC 61850 Digital Substation Environments
[ACM] 2026-6-20 | Addressing the NLP in the Classroom: Empowering High School Teachers through Participatory Design of Hands-on NLP Activities
[ACM] 2026-6-20 | “Reading Together in the Dark”: Designing Natural Parent–Child Shared Reading for Mixed Visual-Ability Families
[ACM] 2026-6-20 | Unpacking Computational Empowerment in Participatory Design with Children: Opportunities, Tensions, and Emerging Questions
[ACM] 2026-6-20 | Beyond Screens: A Tangible and Embodied Educational Framework for Child–Robot Interaction
[ACM] 2026-6-20 | BioStories: A Child-AI Co-creation Storytelling System for Biology Education in Primary School
[ACM] 2026-6-20 | Caring for the Furry Friends in the Smart Home: An Initial Exploration of a Child-Centered Approach to Designing for Pets
[ACM] 2026-6-20 | ELLA: Generative AI-Powered Social Robots for Early Language Development at Home
[ACM] 2026-6-20 | Generalizing HVAC Control With Domain Randomized Reinforcement Learning
[ACM] 2026-6-20 | Anticipatory Electric Vehicle Scheduling using Realistically Available Information
[ACM] 2026-6-20 | Scalable Adaptive AC Control in Real Sleep Environments: A Pilot Deployment with Lightweight Reinforcement Learning
[ACM] 2026-6-20 | Agency in Child–AI Interaction: A Review of How It Is Conceptualised, Studied, and Supported in HCI
[ACM] 2026-6-20 | Eco-AI Campus: A Cooperative Digital Game for Reasoning About the Sustainable and Ethical Deployment of AI
[ACM] 2026-6-20 | Supporting Family-School Partnerships with Robot-Facilitated Home-Based Activities
[ACM] 2026-6-20 | Energy-Function Interpretation of Transient Stability Analysis for a Power System with Mixed Generation
[ACM] 2026-6-20 | Enhancing Resilience in Residential Buildings: Assessing Comfort under Blackout Scenarios with a Modular Multi-Zone White-Box Modeling Approach
[ACM] 2026-6-20 | Towards Generative Occupants: LLM Agents in Physics-Based Building Simulation
[ACM] 2026-6-20 | Best Practices for Computational Building Systems Research: Introducing the ABLE Workflow
[ACM] 2026-6-20 | “Should AI Be Used At All?”: Examining How Youth Decenter AI Solutionism
[ACM] 2026-6-20 | Training Wheels, Not Guardrails: Supporting Teen Agency Through Real-Time Online Safety Nudges for Social Media
[ACM] 2026-6-20 | C3AI: Where Do Trust, Design, and Evaluation Meet in Child–AI Interaction?
[ACM] 2026-6-20 | Balanced!: Turning Tomorrow into Critical Futures Play for Sustainability
[ACM] 2026-6-20 | From Enactment to Writing: How Collaborative Storytelling and Story-Situated AI Scaffolds Support Children’s Narrative Creation
[ACM] 2026-6-20 | Toys that listen, talk, and play: Understanding Children's Sensemaking and Interactions with AI Toys
[ACM] 2026-6-20 | Toward Explainable GNN-Based Dynamic Stability Assessment via Joint Feature Attribution
[ACM] 2026-6-20 | "It Should Look Like a Trashcan": Agonistic Co-Design of a Robotic Library Assistant with 9-12-Year-Olds
[ACM] 2026-6-20 | Building to Understand: Examining Teens’ Technical and Socio-Ethical Pieces of Understanding in the Construction of Small Generative Language Models
[ACM] 2026-6-20 | WeJoy Mat: An Embodied Interactive Mat System Mediating Parent-Child Play for Families with Autistic Children
[ACM] 2026-6-20 | Fairness as an Investment: Dynamic Participation and Long-Run Profit in Virtual Power Plants
[ACM] 2026-6-20 | UnboxAI: Towards Sustainable Family AI Literacy Through Tangible Interaction
[ACM] 2026-6-20 | Purpose and Repurpose with Castoff Kits
[ACM] 2026-6-20 | From Ciphers to Future Cybersecurity: Engaging High School Students with Emerging Cryptographic Techniques through Hands-on Activities
[ACM] 2026-6-20 | OpenSportSense: Sports-Based Interactive Systems for Play, Exploration, and Making
[ACM] 2026-6-20 | Beyond Roles: Collective Protagonism in Co-Design with Neurodiverse Groups of Children
[ACM] 2026-6-20 | Kumu Connect: Culturally-Authentic AI Tools to Enable Educator Agency and Data Sovereignty for Hawaiian K-12 CS Education
[ACM] 2026-6-20 | Comparison of Mixing Strategies for Building Sensor Forecasting
[ACM] 2026-6-20 | Reinforcement Learning for Airport Thermo-Electrical Microgrid Energy Management with Constraint Enforcement
[ACM] 2026-6-20 | Wildly Efficient: Towards minimal sampling in urban visual perception studies in the wild
[ACM] 2026-6-20 | Towards Uncovering Indoor Satisfaction Profiles: LLM Capacity for Structured Extraction from Occupant Feedback
[ACM] 2026-6-20 | Demo Abstract: FlexHologram: Generating Flexible Building HVAC Operation Pareto Front in Seconds
[ACM] 2026-6-20 | Cross-Task Federated Backbone Aggregation with Selective State Space Models for Building Energy Analytics
[ACM] 2026-6-20 | Decentralized EV Charging in Apartment-Dominant Cities: Infrastructure Equity, Solar-Fraction Pricing, and Behavioral Reinforcement Learning
[ACM] 2026-6-20 | AI Literacy in Action: Develop Informed AI “Use” Through an ELA Debate and Argumentation Curriculum
[ACM] 2026-6-20 | Responsible Anthropomorphic Design in LLM-Based Chatbots: Bridging Practitioner Practice and Children's Wellbeing
[ACM] 2026-6-20 | Co-Designing Digital Learning Games with School Counselors: Supporting Identity Development for Immigrant-Origin Youth
[ACM] 2026-6-20 | PhD Forum Abstract: Promoting Smart and Sustainable Built Environments Through the SCBM Research Framework
[ACM] 2026-6-20 | GridStratLLM: Agent Framework for Coordinated Cyberattacks on the Smart Grid with Large Language Models
[ACM] 2026-6-20 | Behavioral Reinforcement Learning for Decentralized EV Fleet Charging: Reliability–Cost–Coordination Trade-offs Under Split Control Authority
